,method,dimension,mean,std,opt,min
0,Differential Evolution,1,0.013103088600001912,0.0018102969846776876,[420.96874594],-418.9828872724337
0,Simulated Annealing,1,0.1282843832333337,0.0055376889178958486,[420.96874715],-418.9828872724337
0,L-BFGS-B,1,0.002385800833326357,0.0012774036465531585,[420.96874411],-418.98288727243306
0,Differential Evolution,2,0.043718256633331974,0.006954428050931922,[420.96874005 420.96875751],-418.9828872724234
0,Simulated Annealing,2,0.2833989050666749,0.06592483690315484,[420.9687509 420.9687448],-418.9828872724322
0,L-BFGS-B,2,0.0029534340333365588,0.0008907109544618651,[420.96871451 420.96877182],-418.98288727232875
0,Differential Evolution,3,0.09623667726667691,0.01547552603893086,[420.96871364 420.96874444 420.968737  ],-418.9828872723849
0,Simulated Annealing,3,0.4004728805666673,0.08474604080768867,[420.96875946 420.96874045 420.96874136],-418.98288727242397
0,L-BFGS-B,3,0.0035546011666667708,0.0008706359067295589,[420.96866707 420.96868658 420.96876135],-418.9828872720095
0,Differential Evolution,4,0.20878965456666948,0.06527809127155638,[420.96874188 420.96874482 420.96877244 420.96874577],-418.9828872724115
0,Simulated Annealing,4,0.5202843215666633,0.09886730468116005,[420.96875229 420.96875856 420.96874276 420.96874795],-418.98288727242743
0,L-BFGS-B,4,0.004129416900006315,0.0009886379834490786,[-302.52495374  420.9686081   420.9687045   420.96867381],-389.37330361798945
0,Differential Evolution,5,0.3061940080999913,0.06999066559626044,[420.96878568 420.9687228  420.96875048 420.96875023 420.96880335],-418.98288727229794
0,Simulated Annealing,5,0.6360674656666655,0.11525179392443648,[420.96878    420.96875495 420.96874393 420.96874933 420.96872442],-418.9828872723907
0,L-BFGS-B,5,0.004650985600001907,0.0009272416817925248,[ 420.96881143  420.96880244 -500.          420.96874873  420.96878547],-371.3041415240004
0,Differential Evolution,6,0.4643214887333253,0.0947506877952327,"[420.96877889 420.96876563 420.96876469 420.96879261 420.968774
 420.96876462]",-418.9828872723285
0,Simulated Annealing,6,0.796058437166666,0.15611204726635353,"[420.96874245 420.96875026 420.96872367 420.96873939 420.96873654
 420.96872492]",-418.98288727240947
0,L-BFGS-B,6,0.005951079733334078,0.001514387736949434,"[ 420.96871206  420.96876925  420.96870248 -302.52497851 -302.52519334
  420.96863529]",-379.5034423991777
0,Differential Evolution,7,0.6239819398666687,0.1374047720093528,"[420.96877919 420.96880618 420.96872245 420.96879461 420.96874277
 420.96874064 420.9687283 ]",-418.9828872722907
0,Simulated Annealing,7,0.9123711013666707,0.16598186464516804,"[420.96874506 420.96876937 420.96872419 420.96879375 420.96867737
 420.96870979 420.96875765]",-418.98288727226264
0,L-BFGS-B,7,0.006305182433339951,0.0011908074625197303,"[ 420.96898778 -302.52481115  420.96880324 -124.82933626  420.96872111
  203.8142548  -302.52485089]",-311.8224512169004
0,Differential Evolution,8,0.9180840956666676,0.2288606591673424,"[420.9687499  420.96874164 420.96874049 420.96875867 420.96880268
 420.96873954 420.9687965  420.9686594 ]",-418.9828872722205
0,Simulated Annealing,8,1.0603340675000046,0.21534545542402314,"[420.96875925 420.96874733 420.96875668 420.96875104 420.96868172
 420.96874199 420.96878052 420.96873206]",-418.9828872723412
0,L-BFGS-B,8,0.010394971433332028,0.00220330256240105,"[ 420.96878194  420.9687287   420.96872324  203.81423074  203.81430367
  203.81415498 -124.82934685 -302.52496298]",-285.73738020410167
0,Differential Evolution,9,1.2618549645333246,0.3159059233071856,"[420.96876676 420.96874727 420.96875727 420.96875566 420.9687312
 420.9687621  420.96876005 420.9687374  420.96875273]",-418.982887272414
0,Simulated Annealing,9,1.1988021317333353,0.2421861786326703,"[420.9686979  420.96878605 420.96872323 420.96877977 420.96877749
 420.96871278 420.96881621 420.96874268 420.9687088 ]",-418.98288727223775
0,L-BFGS-B,9,0.008603600100006286,0.0023976334534126877,"[ 420.9688513  -302.52491351 -302.52486129 -124.8293508   420.9686752
 -124.82923945  203.81427233 -302.52493677  420.9685295 ]",-289.5753205211598
0,Differential Evolution,10,1.697986003600003,0.351729483959929,"[420.96871547 420.96861632 420.96868456 420.96869945 420.96863593
 420.96868141 420.96871157 420.96875984 420.96875098 420.96869361]",-418.9828872718723
0,Simulated Annealing,10,1.3076415530666585,0.2409997054243838,"[420.96879875 420.96867261 420.96875029 420.96889918 420.96874307
 420.96872751 420.96873502 420.96876495 420.96873144 420.96876504]",-418.9828872720177
0,L-BFGS-B,10,0.00797604860001305,0.0019446701453803407,"[ 420.96879556 -302.52479686  420.96861615  203.81427726  420.96877003
 -302.5249427  -302.52478664  420.96860454  203.81451193  -25.87747075]",-300.533460303115
0,Differential Evolution,11,2.299144356766654,0.625639689626004,"[420.96893512 420.96877338 420.96871468 420.96871885 420.96893668
 420.96879365 420.96878595 420.96871056 420.96882684 420.96868241
 420.9688797 ]",-418.9828872711974
0,Simulated Annealing,11,1.4271791334333177,0.2613247229585805,"[420.96872117 420.96872661 420.96874237 420.96869848 420.96882179
 420.96878759 420.96865828 420.96880669 420.96873686 420.96882809
 420.96872642]",-418.9828872720978
0,L-BFGS-B,11,0.008313034566666981,0.0023016945680975074,"[-500.          420.96885836 -302.52500729 -302.52491081  420.96880244
 -302.52485211  420.96887524  420.96903619 -302.52476089  420.96879388
  420.96899385]",-354.24224479725547
0,Differential Evolution,12,2.895732062733331,0.4516210401448629,"[420.96875588 420.96875576 420.96864539 420.96884069 420.96871515
 420.96875332 420.96857501 420.96884462 420.96874743 420.96881595
 420.96881217 420.96879197]",-418.98288727169165
0,Simulated Annealing,12,1.609798082933336,0.2851467053734833,"[420.96870509 420.96878557 420.96878122 420.96876146 420.96877216
 420.96870798 420.96869762 420.96853824 420.96880813 420.96870997
 420.96878946 420.96874259]",-418.9828872718078
