,method,dimension,mean,std
0,Differential Evolution,1,0.003257068029294411,0.000498016239168707
0,Simulated Annealing,1,0.0370027765010794,0.0018547683286746104
0,L-BFGS-B,1,0.001191812400550892,0.0007131517553574018
0,Differential Evolution,2,0.01074048483860679,0.0018577296996554501
0,Simulated Annealing,2,0.07059696263556058,0.0006256573791695913
0,L-BFGS-B,2,0.0006540902017150074,0.00017862258202702637
0,Differential Evolution,3,0.023213295739454527,0.002993673359820826
0,Simulated Annealing,3,0.10530733617100244,0.0008130538479626813
0,L-BFGS-B,3,0.0009078055348557731,0.00021585117770224816
0,Differential Evolution,4,0.040972190332831816,0.005828621792851386
0,Simulated Annealing,4,0.14153372080569776,0.006106478742194091
0,L-BFGS-B,4,0.0010702500604869178,0.00026199404516513
0,Differential Evolution,5,0.06685491946991533,0.008890007473204661
0,Simulated Annealing,5,0.17518397643386077,0.000962547107988521
0,L-BFGS-B,5,0.0013316861334412048,0.00032294511452621565
0,Differential Evolution,6,0.10145467786351219,0.016177831781860042
0,Simulated Annealing,6,0.20998742213317503,0.00134268758277307
0,L-BFGS-B,6,0.0013252527317187438,0.0002888433350741161
0,Differential Evolution,7,0.1459878958412446,0.019002608353478695
0,Simulated Annealing,7,0.2449523278065802,0.0013827747535539489
0,L-BFGS-B,7,0.001752661067682008,0.0005224461783851381
0,Differential Evolution,8,0.2016081653321938,0.03423395372327433
0,Simulated Annealing,8,0.2797285318665672,0.0022868134926375193
0,L-BFGS-B,8,0.0017847028366910914,0.000532315879794922
0,Differential Evolution,9,0.26446617500817715,0.045267310228382436
0,Simulated Annealing,9,0.3160468513980353,0.0016281387160518484
0,L-BFGS-B,9,0.0018702304728018741,0.0005057226577655473
0,Differential Evolution,10,0.359083545828859,0.07201615206116803
0,Simulated Annealing,10,0.35061551673182595,0.0019480353482520052
0,L-BFGS-B,10,0.0020249611678688478,0.0005589609553225988
0,Differential Evolution,11,0.46596187222748997,0.08212534881108179
0,Simulated Annealing,11,0.3880609457963146,0.01045759177340501
0,L-BFGS-B,11,0.0020562153736439844,0.00040649031998855634
0,Differential Evolution,12,0.6136345125366157,0.09943443730296621
0,Simulated Annealing,12,0.41979285843359926,0.002798481225079039
0,L-BFGS-B,12,0.002411987471471851,0.0005494200750724838
0,Differential Evolution,13,0.7662800970991763,0.13800770316629932
0,Simulated Annealing,13,0.4589566819757844,0.007863869784642841
0,L-BFGS-B,13,0.0025549236374596755,0.0005396372837443127
0,Differential Evolution,14,0.938684276425435,0.17980122665755455
0,Simulated Annealing,14,0.4982225763669703,0.01817121495397959
0,L-BFGS-B,14,0.002451837534317747,0.0005786348660689611
0,Differential Evolution,15,1.1802090666644895,0.18880371401884777
0,Simulated Annealing,15,0.5324582764684843,0.015872877087633425
0,L-BFGS-B,15,0.0027280917022532475,0.0005496252690197375
0,Differential Evolution,16,1.5803989625283672,0.30229167156480663
0,Simulated Annealing,16,0.5648106375068892,0.01053527052350884
0,L-BFGS-B,16,0.0030574084298374752,0.0006464980692406527
0,Differential Evolution,17,2.1850440124690067,0.3785531569213686
0,Simulated Annealing,17,0.6013003110322946,0.010918368824338363
0,L-BFGS-B,17,0.0033188401682612795,0.00071215139689267
0,Differential Evolution,18,2.1445733528642448,0.39226105377441384
0,Simulated Annealing,18,0.6355971777016142,0.0073651680632015794
0,L-BFGS-B,18,0.0029641861309452604,0.0006166560052110017
0,Differential Evolution,19,2.6997120584361256,0.420028400781463
0,Simulated Annealing,19,0.6789023652672768,0.02537510446656986
0,L-BFGS-B,19,0.003828633400068308,0.0009014570077764734
0,Differential Evolution,20,3.587366022229738,0.827713365165423
0,Simulated Annealing,20,0.7151944569758295,0.007580285228774328
0,L-BFGS-B,20,0.003335861072021847,0.0007133175802589581
0,Differential Evolution,21,3.826026030666738,0.6562111323829952
0,Simulated Annealing,21,0.7531220555014443,0.015376212130892129
0,L-BFGS-B,21,0.003616369500135382,0.0007547471220690279
0,Differential Evolution,22,5.245609085970015,1.1077212188798005
0,Simulated Annealing,22,0.784864245733479,0.003775056471390086
0,L-BFGS-B,22,0.004195731940368811,0.0011161957398759703
0,Differential Evolution,23,6.096646748597656,1.3541830433381203
0,Simulated Annealing,23,0.8319895111994507,0.008515918509391306
0,L-BFGS-B,23,0.003830002760514617,0.0007505067506904887
0,Differential Evolution,24,7.021189930530576,1.286290812499988
0,Simulated Annealing,24,0.8607173528367033,0.0056718718372019
0,L-BFGS-B,24,0.0040543916965058695,0.0009055382083997831
0,Differential Evolution,25,8.056886644399492,1.3321919250854337
0,Simulated Annealing,25,0.8975241306684135,0.0056695403222051894
0,L-BFGS-B,25,0.004509018101574233,0.000815340034979379
0,Differential Evolution,26,8.67399238756237,1.5318607460724216
0,Simulated Annealing,26,0.9391296208351074,0.011171574158678461
0,L-BFGS-B,26,0.00479358196995842,0.0010536532468765512
0,Differential Evolution,27,10.07478149573823,1.4877788197935868
0,Simulated Annealing,27,0.9854769735713489,0.018018394870819927
0,L-BFGS-B,27,0.004195847158553079,0.0007146095261582355
0,Differential Evolution,28,10.693388909633116,1.0017176848501712
0,Simulated Annealing,28,1.0163918584371763,0.008716182717524959
0,L-BFGS-B,28,0.004756409833983829,0.0011315990368545201
0,Differential Evolution,29,11.749883655458689,0.8377348333931199
0,Simulated Annealing,29,1.0660067040007561,0.019177088962620555
0,L-BFGS-B,29,0.004998838934504117,0.001231476121550434
